diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
0402台鐵列車出軌事故,0,V813,,,,
18三套體,0,Q913,,,,
18對短臂症候群,0,Q935,,,,
220伏特電擊,7,T754,W87,X83,Y08,Y33
2、3、4、5肋骨骨折,0,S224,,,,
3染色体13症,0,Q917,,,,
5W-P-P氏症候群,1,I456,Q246,,,
7-AMINOFLUNITRAZEPAM,7,T424,X41,X61,X85,Y11
A-VBLOCK心律阻斷,1,I443,Q246,,,
AIDS,0,B24,,,,
AIDS帶原者,0,B24,,,,
ALK陰性退行性大細胞淋巴瘤,0,C833,,,,
ALPRAZOLAM中毒,7,T424,X41,X61,X85,Y11
ARDS,0,J80,,,,
Acetaminophen中毒,7,T391,X40,X60,X85,Y10
Acute Myocardial Infarction,0,I2199,,,,
Acute ischemic stroke,0,I6409,,,,
Aicardi-Goutieres症候群,0,G318,,,,
Alport綜合症,0,Q878,,,,
Alstrom氏症候群,0,Q892,,,,
Aminophylline藥物中毒,7,T486,X44,X64,X85,Y14
Aminophylline過量,7,T486,X44,X64,X85,Y14
Amisulpride過量,7,T435,X41,X61,X85,Y11
Arnold Chiar畸型,0,Q070,,,,
Ativan中毒,7,T424,X41,X61,X85,Y11
A型主動脈剝離,0,I710(nTR),,,,
A型主動脈剝離破裂,0,I710(nTR),,,,
A型主動脈壁層血腫,0,I710(nTR),,,,
A型主動脈瘤剝離,0,I710(nTR),,,,
A型免疫球蛋白腎病,0,N058,,,,
A型剝離性動脈瘤,0,I710(nTR),,,,
A型動脈剝離,0,I710(nTR),,,,
A型流感,0,J108,,,,
A型流感病毒感染,0,J108,,,,
A型流感肺炎,0,J100,,,,
A型流感腦炎,5,J108,G049,,,
A型流感重症,0,J108,,,,
A型流感重症肺炎,0,J100,,,,
A型流行性感冒,0,J108,,,,
A型流行性感冒病毒感染,0,J108,,,,
A型流行感冒病毒感染,0,J108,,,,
A型肝炎,1,B159,P353,,,
A型胸主動脈瘤剝離,0,I710(nTR),,,,
A型血友病,0,D66,,,,
A型血友病異常出血,0,D66,,,,
A型鏈球菌感染,0,A491,,,,
A型鏈球菌菌血症,0,A491,,,,
