ICD1_Iris,中文診斷
A009,霍亂
A009,霍亂弧菌菌血症
A009,霍亂弧菌感染
A010,傷寒桿菌菌血症
A010,傷寒
A010,類傷寒桿菌感染
A020,腸道沙門氏菌菌血症
A020,腸道沙門桿菌感染
A020,沙門氏菌腸道感染
A020,沙門桿菌腸炎
A020,沙門菌胃腸炎
A020,沙門菌結腸炎
A020,沙門氏桿菌腸炎
A021,沙門氏菌敗血症
A021,沙門氏敗血性休克
A021,沙門氏桿菌敗血症
A021,沙門桿菌敗血症
A022,沙門氏桿菌心包膜炎
A022,沙門氏桿菌腦膜炎
A029,全身沙門氏菌感染
A029,沙門氏桿菌菌血症
A029,沙門氏桿菌傳染病
A029,沙門氏桿菌感染
A029,沙門氏菌血症
A029,沙門氏菌症
A029,沙門氏菌感染
A029,非傷寒性沙門桿菌
A029,沙門桿菌感染
A029,沙門氏菌菌血症
A029,沙門菌菌血症
A039,志賀氏桿菌腸炎
A039,志賀氏菌感染
A039,急性志賀桿菌感染
A047,偽膜性結腸炎
A047,艱難梭狀菌腸炎
A047,偽膜性大腸炎
A047,偽膜性腸炎
A047,偽膜性腹瀉
A047,梭狀芽胞桿菌結腸炎
A047,偽黏膜性腸炎
A049,細菌性大腸炎
A049,急性細菌性腸炎
A049,多重抗藥性金黃色葡萄球菌腸炎
A049,細菌性腸道傳染病
A049,梭菌性腸炎
A049,細菌性腸炎
A060,阿米巴痢疾
A060,急性阿米巴痢疾
A062,阿米巴結腸炎
A062,腸道系統阿米巴感染
A062,阿米巴腸炎
A062,腸道阿米巴穿孔
A062,亞米巴大腸炎
A069,阿米巴病
A069,阿米巴感染
A069,阿米巴原蟲病
A069,阿米巴原蟲感染
A080,輪狀病毒性腸胃炎
A080,輪狀病毒腸炎
A084,病毒性大腸炎
A084,病毒性胃腸炎
A084,細胞病毒結腸炎
A084,病毒性腸炎
A084,急性病毒性胃腸炎
A084,病毒性腸道感染
A099,感染性下痢
A099,感染性急性腸胃炎
A099,感染性大腸炎
A099,胃腸感染
A099,細菌性腸胃炎
A099,細菌性腹瀉
A099,傳染性大腸炎
A099,急性感染性腹瀉
A099,大腸感染
A099,大腸感染症
A099,菌性痢疾
A099,結腸感染
A099,十二指腸感染
A099,急性胃腸感染
A099,感染性胃腸炎
A099,痢疾
A099,感染性結腸炎
A099,下消化道感染
A099,中毒性痢疾
A099,消化道感染
A099,腸道感染
A099,感染性桿菌大腸炎
A099,腸道細菌感染
A099,上消化道炎症
A099,消化道炎症
A099,上消化道感染
A099,腸胃道感染
A099,腸胃道菌種轉移
A099,迴腸末端感染
A099,腸胃感染
A099,腸胃中空器官破裂感染
A099,腸內感染
A099,伺機性腸道感染
A099,乙狀結腸感染
A099,急性感染性腸胃炎
A099,感染性腹瀉
A099,感染性腸胃炎
A099,感染性腸炎
A099,消化系統感染
A099,腸胃道細菌感染
A162,肺結核性肺萎縮
A162,結核菌肺炎
A162,結核菌性肺炎
A162,肺結核性氣喘
A162,肺結核性肺病變
A162,肺結核肉芽腫
A162,肺結核性肺空洞症
A162,肺結核性肺炎
A162,肺結核
A162,肺結核手術
A162,結核性肺纖維化
A162,急性肺結核
A162,結核性氣胸症
A162,肺結核性肺氣腫
A162,結核性氣胸
A162,肺結核破壞性肺
A162,慢性組織性肺結核
A162,非開放性肺結核
A162,非感染性肺結核
A162,非分枝性桿菌肺結核
A162,支氣管性結核肺炎
A162,侵犯性肺結核
A162,肺浸潤性結核病
A162,肺浸潤性肺結核
A162,肺空洞結核病
A162,肺部結核病
A162,封閉性肺結核
A162,肺結核性腫瘤
