state,input,answer
0,['高血壓心臟病'],"['高血壓', '心臟病']"
0,"['高血壓, 心臟病']",['高血壓心臟病']
0,['乳癌轉移'],"['乳癌', '轉移']"
0,['乳癌併轉移'],"['乳癌轉移']"
0,['第五期慢性腎臟疾病'],['慢性腎臟疾病']
0,['新冠肺炎病毒(COVID-19)感染'],['新冠肺炎']
0,['嚴重特殊傳染性肺炎、肺炎、肺癌'],"['嚴重特殊傳染性肺炎', '肺炎', '肺癌']"
1,['老邁死亡'],['老邁']
1,['心肺衰竭死亡'],['心肺衰竭']
1,['高齡壽終（老邁自然死亡）'],['老邁']
1,['到院前死亡疑心肌梗塞'],['心肌梗塞']
1,['肝癌末期'],['肝癌']
1,['第四期肺腺癌'],['肺腺癌']
1,['口腔癌復發'],['口腔癌']
1,['大腸癌術後'],['大腸癌']
1,['慢性呼吸衰竭併呼吸器使用'],['慢性呼吸衰竭']
2,['大腸直腸癌伴有肺部、肝臟轉移'],"['大腸直腸癌','肺肝轉移']"
2,['女性右側乳房未明示部位惡性腫瘤'],['女性乳房惡性腫瘤']
2,['上葉之左側支氣管或肺惡性腫瘤'],['上葉支氣管或肺惡性腫瘤']
2,['右上肺葉惡性腫瘤'],['上肺葉惡性腫瘤']
2,['子宮肌層肉瘤末期'],['子宮肌肉瘤']
2,['乳腺惡性腫瘤'],['乳腺癌']
2,['上消化道大出血'],['上消化道出血']
2,['心肺腎衰竭'],['心肺腎衰竭']
3,['腦幹及小腦出血'],"['腦幹出血','小腦出血']"
3,['循環併呼吸功能衰竭'],"['循環衰竭','呼吸功能衰竭']"
3,['心肺肝衰竭'],"['心肺衰竭','肝衰竭']"
3,['大腦及腦幹中風'],"['大腦中風','腦幹中風']"
3,['肝癌末期併腹膜及肺部轉移'],"['肝癌','腹膜轉移','肺部轉移']"
3,['肝及肝內膽管之續發性惡性腫瘤'],"['肝續發性惡性腫瘤','肝內膽管續發性惡性腫瘤']"
4,['胰臟惡性腫瘤末期'],"['胰臟惡性腫瘤','腫瘤末期']"
4,['糖尿病併腎衰竭'],"['糖尿病','腎衰竭']"
4,['大腸癌擴散及淋巴癌'],"['大腸癌','腸癌擴散','淋巴癌']"
4,['尿路感染伴敗血症'],"['尿路感染','敗血症']"
4,['肝癌轉移肺癌'],"['肝癌','癌轉移','轉移肺癌']"
4,['高血壓高血脂'],"['高血壓','血壓高','高血脂']"
4,['高血壓心臟病史'],"['高血壓心臟病','心臟病史']"
4,['乙型肝炎帶原'],"['乙型肝炎','肝炎帶原']"
4,['吸入食物或嘔吐物所致之肺炎'],"['嘔吐','肺炎']"
4,['大腸桿菌所致敗血症'],"['腸桿菌','敗血症']"
4,['金黃色葡萄球菌所致敗血症'],"['金黃色葡萄球菌','敗血症']"
5,['細菌性腹膜炎致敗血性休克'],['敗血性休克']
5,['淋巴癌引發病毒性腦膜炎'],['病毒性腦膜炎']
5,['大腦出血所致腦幹衰竭'],['腦幹衰竭']
5,['嚴重高血鉀引發致命性心室頻脈'],['致命性心室頻脈']
6,['自小客車與行人車禍'],['車禍B2行人*汽車']
6,['家中浴缸處溺水'],['浴缸內溺水']
6,['從樓梯摔落'],['樓梯摔倒']
6,['太空包掉落擠壓'],['重物壓傷']
6,['服用農藥'],['農藥中毒']
6,['以麻繩上吊'],['繩縊頸']
6,['吞服強腐蝕類清潔劑'],['清潔劑中毒']
7,['極低出生體重兒(410公克)'],['早產兒<999克']
7,['懷孕週數24週出生體重500公克'],"['早產兒<999克','早產兒少於28週']"
7,['懷孕21週早產'],['早產兒少於28週']
7,['懷孕貳拾週又二天，早產器官未發育'],"['早產兒少於28週','器官發育不良']"
8,['嚴重傳染性肺炎(PCR CT 值24.95)'],['嚴重特殊傳染性肺炎']
8,['SARS相關冠狀病毒covid 19所致肺炎'],"['新冠病毒感染','肺炎']"
8,['新冠狀病毒感染'],['新冠病毒感染']
8,['嚴重特殊傳染肺炎'],['嚴重特殊傳染性肺炎']
8,['新冠病毒(Covid-19)感染'],['新冠病毒感染']
8,['新冠病毒確診後死亡'],['新冠病毒肺炎']
8,['新冠病毒核酸檢測陽性'],['新冠病毒']
8,['新冠確診'],['新冠肺炎']
8,['COVID19 快篩陽性'],['']
9,['心 因 性 猝 死'],['心因性猝死']
9,['口腔部位囊腫'],['口腔腫瘤']
9,['乙狀結腸惡性癌'],['乙狀結腸癌']
9,['小腸(空腸)穿孔'],['小腸穿孔']
9,['肺腔積液'],['肺積液']
9,['心血管疾患'],['心血管疾病']
9,['心肺功能自然停止'],['心肺功能停止']
9,['洗腎'],['腎衰竭']
9,['服藥(泌尿系統用藥)'],['泌尿系統疾患']
9,['吸菸'],['吸煙']
9,['待解剖'],['司法相驗中']
9,['檢體送驗中'],['司法相驗中']
10,['冠狀動脈粥狀硬化症'],"['冠狀動脈粥狀硬化','硬化症']"
10,['急性病毒性B型肝炎'],['急性B型肝炎']
10,['陳舊性腦血管性病變'],['陳舊性腦血管病變']
11,['肺炎(本次COVID-19抗原檢測陰性)'],['肺炎']
11,['非創傷性顱內出血'],['非創傷性顱內出血']
11,['非何杰金氏惡性淋巴癌'],['非何杰金氏惡性淋巴瘤']
11,['非ST上升型心肌梗塞'],['非ST節段上升心肌梗塞']
12,['腎衰竭末期'],['末期腎衰竭']
12,['末期腎疾病'],['末期腎疾病']
12,['腎臟病末期'],['末期腎臟病']
